               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10791,            0.028938,             0.04093,           0.0021322,             0.63333,           0.0062029,           0.0012681,            0.076697,            0.018222,            0.041959,              0.0874,              0.0014,              0.0014
                   1,            0.079485,             0.02818,            0.037515,           0.0033093,             0.98333,             0.07639,            0.026042,            0.080063,            0.015018,            0.033257,            0.073886,           0.0028856,           0.0028856
                   2,            0.067591,            0.026844,            0.035101,             0.47578,             0.26667,             0.29492,            0.091164,            0.061041,             0.01181,            0.031201,            0.060356,           0.0043564,           0.0043564
                   3,            0.060596,            0.022277,            0.030784,             0.50251,             0.66653,             0.58561,             0.24929,            0.046891,            0.011922,             0.02052,            0.046812,           0.0058124,           0.0058124
                   4,            0.060293,            0.021165,            0.027312,             0.35905,             0.36667,             0.37881,             0.10451,            0.059461,           0.0094396,            0.021121,            0.033253,           0.0072535,           0.0072535
                   5,            0.058359,            0.020837,             0.02222,             0.38594,             0.49941,             0.37388,              0.1353,            0.063523,           0.0089197,            0.014145,             0.01968,           0.0086797,           0.0086797
                   6,            0.059603,            0.017664,            0.019506,             0.36153,             0.58333,             0.45766,              0.1674,            0.058785,           0.0065906,            0.019497,            0.009703,            0.009703,            0.009703
                   7,            0.055342,            0.018468,            0.017242,             0.53792,             0.79929,             0.75847,             0.32403,            0.053912,           0.0076228,            0.011113,            0.009703,            0.009703,            0.009703
                   8,            0.051419,            0.016293,            0.013849,             0.66178,                0.85,             0.75389,             0.40826,            0.048946,           0.0070156,            0.008975,           0.0096535,           0.0096535,           0.0096535
                   9,            0.051492,            0.013979,            0.012432,             0.58095,             0.91722,             0.81346,             0.43987,            0.051964,           0.0060365,             0.00592,            0.009604,            0.009604,            0.009604
                  10,            0.047147,            0.014204,           0.0095975,             0.72733,             0.73333,             0.81629,             0.44174,              0.0446,           0.0057726,           0.0051417,           0.0095545,           0.0095545,           0.0095545
                  11,            0.045388,            0.012229,           0.0087207,             0.61187,             0.88322,             0.74591,             0.41821,            0.047744,           0.0056498,           0.0054415,            0.009505,            0.009505,            0.009505
                  12,             0.04359,            0.012262,           0.0094615,             0.63956,             0.96667,             0.91771,              0.5712,            0.034012,           0.0052003,           0.0042486,           0.0094555,           0.0094555,           0.0094555
                  13,            0.041778,             0.01157,           0.0093526,             0.62289,             0.91667,              0.8762,             0.47376,            0.038232,           0.0050689,           0.0034804,            0.009406,            0.009406,            0.009406
                  14,             0.04091,             0.01101,           0.0079571,             0.89835,             0.95621,             0.98159,              0.5263,            0.033383,           0.0050442,           0.0026776,           0.0093565,           0.0093565,           0.0093565
                  15,            0.040074,            0.011661,           0.0067941,             0.96819,             0.94664,             0.99115,             0.54937,            0.033316,           0.0051572,           0.0023442,            0.009307,            0.009307,            0.009307
                  16,            0.037904,            0.011091,           0.0069133,             0.84157,             0.91667,             0.94421,             0.63728,             0.03003,           0.0047995,           0.0020597,           0.0092575,           0.0092575,           0.0092575
                  17,             0.03799,            0.010019,           0.0064552,             0.97876,             0.99373,               0.995,             0.65785,            0.031683,           0.0044966,           0.0029657,            0.009208,            0.009208,            0.009208
                  18,             0.03673,            0.010481,           0.0092555,             0.93774,             0.99444,             0.99262,             0.61832,            0.027008,           0.0042642,           0.0019989,           0.0091585,           0.0091585,           0.0091585
                  19,            0.037195,            0.010973,           0.0061377,              0.9752,                   1,               0.995,             0.74127,            0.026091,           0.0046164,           0.0022093,            0.009109,            0.009109,            0.009109
                  20,            0.033555,           0.0096178,           0.0059393,              0.9114,                   1,             0.98389,             0.67166,            0.026709,           0.0042908,             0.00171,           0.0090595,           0.0090595,           0.0090595
                  21,             0.03474,            0.010495,           0.0052683,             0.83626,                   1,             0.95143,             0.71335,            0.027325,           0.0042247,           0.0015829,             0.00901,             0.00901,             0.00901
                  22,            0.034175,           0.0095504,           0.0057651,             0.90431,             0.98418,               0.995,             0.66017,            0.025522,           0.0041956,           0.0021208,           0.0089605,           0.0089605,           0.0089605
                  23,            0.032709,            0.010082,           0.0046787,             0.98486,             0.97228,             0.99348,             0.67026,             0.02623,           0.0047431,            0.002418,            0.008911,            0.008911,            0.008911
                  24,            0.030881,           0.0088753,           0.0047327,             0.98415,                   1,               0.995,             0.69503,            0.020558,           0.0038002,           0.0023531,           0.0088615,           0.0088615,           0.0088615
                  25,            0.031755,           0.0082365,           0.0047831,             0.98571,                   1,               0.995,             0.79465,            0.023222,           0.0034925,           0.0019647,            0.008812,            0.008812,            0.008812
                  26,            0.032651,           0.0085304,           0.0059131,             0.89393,                   1,             0.94302,             0.73401,            0.021735,           0.0035038,            0.001684,           0.0087625,           0.0087625,           0.0087625
                  27,            0.030307,           0.0088897,           0.0048769,             0.97452,                   1,               0.995,             0.73567,            0.024561,           0.0034945,           0.0012998,            0.008713,            0.008713,            0.008713
                  28,            0.030204,           0.0084574,           0.0060162,             0.99162,                   1,               0.995,             0.84153,            0.019302,            0.003224,           0.0013946,           0.0086635,           0.0086635,           0.0086635
                  29,            0.029798,           0.0084694,           0.0056344,             0.87453,             0.96072,             0.98555,             0.80096,             0.02102,           0.0038955,           0.0058262,            0.008614,            0.008614,            0.008614
                  30,            0.029592,           0.0082287,           0.0042963,             0.98293,                   1,               0.995,             0.78461,            0.022068,           0.0037116,           0.0025031,           0.0085645,           0.0085645,           0.0085645
                  31,            0.029268,           0.0088227,           0.0039239,             0.99724,             0.99889,               0.995,             0.75844,             0.01816,           0.0036987,           0.0016788,            0.008515,            0.008515,            0.008515
                  32,            0.029571,           0.0085823,           0.0053364,              0.9937,                   1,               0.995,             0.77044,            0.021404,           0.0034797,           0.0012572,           0.0084655,           0.0084655,           0.0084655
                  33,            0.025636,           0.0077821,            0.003633,             0.99557,                   1,               0.995,             0.76543,            0.022649,           0.0035071,           0.0012336,            0.008416,            0.008416,            0.008416
                  34,            0.028112,           0.0075204,           0.0033687,             0.99462,                   1,               0.995,             0.72879,            0.027509,           0.0032736,            0.001347,           0.0083665,           0.0083665,           0.0083665
                  35,            0.030109,           0.0089191,           0.0042288,             0.99375,                   1,               0.995,             0.76127,            0.023732,           0.0033795,           0.0013787,            0.008317,            0.008317,            0.008317
                  36,            0.029214,            0.008326,           0.0061329,             0.99383,                   1,               0.995,             0.74774,            0.020737,           0.0034115,           0.0011766,           0.0082675,           0.0082675,           0.0082675
                  37,            0.026844,           0.0089834,           0.0042964,             0.99196,                   1,               0.995,             0.81695,            0.016638,            0.003296,           0.0011335,            0.008218,            0.008218,            0.008218
                  38,            0.025455,           0.0079118,           0.0054936,               0.994,                   1,               0.995,             0.78498,            0.018233,             0.00313,          0.00095122,           0.0081685,           0.0081685,           0.0081685
                  39,            0.025835,           0.0079202,           0.0030624,             0.98699,             0.99759,               0.995,             0.78815,            0.025956,           0.0033227,           0.0011788,            0.008119,            0.008119,            0.008119
                  40,             0.02708,           0.0075575,           0.0039457,             0.97848,             0.96022,               0.995,             0.75755,            0.023614,           0.0035164,           0.0022677,           0.0080695,           0.0080695,           0.0080695
                  41,            0.025205,           0.0079694,           0.0040797,             0.91652,             0.97767,               0.995,             0.81729,            0.022551,           0.0033751,           0.0034537,             0.00802,             0.00802,             0.00802
                  42,            0.025252,           0.0077568,           0.0039923,             0.99549,                   1,               0.995,             0.82493,            0.016888,           0.0032662,           0.0013763,           0.0079705,           0.0079705,           0.0079705
                  43,            0.025738,           0.0076838,           0.0050277,             0.93454,             0.99977,             0.98502,             0.81539,             0.01856,           0.0035226,           0.0013877,            0.007921,            0.007921,            0.007921
                  44,            0.025055,           0.0077521,           0.0044157,             0.99426,                   1,               0.995,             0.81089,            0.015256,           0.0031631,           0.0012681,           0.0078715,           0.0078715,           0.0078715
                  45,            0.024915,           0.0074552,           0.0038338,             0.99245,                   1,               0.995,             0.77596,            0.016177,            0.003297,           0.0013666,            0.007822,            0.007822,            0.007822
                  46,            0.023677,           0.0073125,           0.0040539,             0.97881,             0.98654,               0.995,             0.76017,            0.019825,           0.0038135,           0.0013983,           0.0077725,           0.0077725,           0.0077725
                  47,            0.025951,           0.0077023,           0.0042627,             0.94622,             0.96637,             0.98739,              0.8517,            0.016085,           0.0045673,           0.0030633,            0.007723,            0.007723,            0.007723
                  48,             0.02484,           0.0073765,           0.0036768,             0.99137,             0.99244,               0.995,             0.83436,            0.019584,           0.0034961,           0.0029121,           0.0076735,           0.0076735,           0.0076735
                  49,            0.024636,           0.0072552,           0.0032405,             0.98979,             0.99668,               0.995,             0.81544,             0.02052,           0.0031959,           0.0027024,            0.007624,            0.007624,            0.007624
                  50,            0.024796,           0.0082217,            0.002863,             0.99228,             0.99889,               0.995,             0.81393,            0.017108,           0.0032753,           0.0013823,           0.0075745,           0.0075745,           0.0075745
                  51,            0.023512,           0.0073223,           0.0031586,             0.99607,                   1,               0.995,             0.79878,            0.018298,           0.0031534,           0.0011147,            0.007525,            0.007525,            0.007525
                  52,            0.023875,           0.0078424,           0.0034213,             0.99529,                   1,               0.995,             0.82351,            0.020237,           0.0029255,           0.0012207,           0.0074755,           0.0074755,           0.0074755
                  53,            0.025014,           0.0075484,           0.0040355,             0.99585,                   1,               0.995,             0.82128,            0.024555,           0.0029541,           0.0010596,            0.007426,            0.007426,            0.007426
                  54,            0.022799,           0.0073213,           0.0033372,             0.98693,             0.99934,               0.995,             0.85663,            0.017448,           0.0031239,           0.0014427,           0.0073765,           0.0073765,           0.0073765
                  55,            0.022668,           0.0071456,           0.0033803,             0.97302,             0.98435,               0.995,             0.80791,            0.014307,           0.0029238,           0.0017119,            0.007327,            0.007327,            0.007327
                  56,            0.023483,           0.0073208,           0.0035614,             0.99449,                   1,               0.995,             0.84885,            0.012619,             0.00279,           0.0010015,           0.0072775,           0.0072775,           0.0072775
                  57,            0.021786,           0.0072634,           0.0038357,             0.99561,                   1,               0.995,             0.84099,            0.014875,           0.0029474,          0.00083689,            0.007228,            0.007228,            0.007228
                  58,            0.022518,           0.0071318,           0.0028627,             0.99493,                   1,               0.995,             0.88397,            0.014066,           0.0028476,          0.00080262,           0.0071785,           0.0071785,           0.0071785
                  59,            0.022022,           0.0068662,            0.002097,              0.9949,                   1,               0.995,             0.82435,            0.015084,           0.0028452,          0.00084679,            0.007129,            0.007129,            0.007129
                  60,            0.022421,           0.0073354,           0.0033113,             0.99278,                   1,               0.995,             0.85101,            0.015534,           0.0030062,          0.00093999,           0.0070795,           0.0070795,           0.0070795
                  61,            0.022237,           0.0065848,           0.0026968,             0.98444,                   1,               0.995,             0.84287,            0.014547,           0.0033669,           0.0010524,             0.00703,             0.00703,             0.00703
                  62,            0.023048,           0.0077866,           0.0030665,             0.99448,                   1,               0.995,             0.85783,            0.015058,            0.002739,           0.0011849,           0.0069805,           0.0069805,           0.0069805
                  63,            0.022796,           0.0073213,           0.0034558,             0.99457,                   1,               0.995,              0.8649,            0.012778,           0.0025651,           0.0013611,            0.006931,            0.006931,            0.006931
                  64,            0.021124,             0.00672,           0.0033339,             0.99698,                   1,               0.995,             0.84697,            0.014556,           0.0025443,           0.0012916,           0.0068815,           0.0068815,           0.0068815
                  65,            0.022045,           0.0064731,           0.0027302,             0.99622,                   1,               0.995,             0.83273,            0.018129,           0.0027019,           0.0012429,            0.006832,            0.006832,            0.006832
                  66,            0.020107,           0.0061303,           0.0032023,             0.99396,                   1,               0.995,             0.85507,            0.016882,           0.0026001,            0.001069,           0.0067825,           0.0067825,           0.0067825
                  67,            0.019719,           0.0066332,           0.0027504,             0.89108,             0.96277,             0.99262,             0.82281,            0.013422,            0.002984,           0.0039295,            0.006733,            0.006733,            0.006733
                  68,            0.021031,           0.0067362,           0.0023288,             0.82063,             0.92233,             0.93586,             0.81627,            0.012545,           0.0028129,            0.012881,           0.0066835,           0.0066835,           0.0066835
                  69,            0.020858,           0.0066324,            0.002135,             0.99441,                   1,               0.995,             0.87895,            0.014712,           0.0026833,          0.00080398,            0.006634,            0.006634,            0.006634
                  70,            0.020875,           0.0061635,           0.0015067,             0.99127,                   1,               0.995,             0.86863,            0.015056,           0.0029471,          0.00080323,           0.0065845,           0.0065845,           0.0065845
                  71,            0.021934,           0.0065686,           0.0019434,             0.99379,                   1,               0.995,             0.82917,            0.018516,           0.0029061,          0.00081146,            0.006535,            0.006535,            0.006535
                  72,            0.022379,           0.0067653,           0.0020577,             0.99529,                   1,               0.995,             0.83664,            0.014801,           0.0026869,          0.00079172,           0.0064855,           0.0064855,           0.0064855
                  73,            0.020352,           0.0069803,           0.0017091,             0.99659,                   1,               0.995,             0.86074,            0.013993,           0.0026461,          0.00088255,            0.006436,            0.006436,            0.006436
                  74,            0.021701,           0.0060075,           0.0016595,             0.99602,                   1,               0.995,             0.81781,            0.016178,           0.0027689,          0.00094979,           0.0063865,           0.0063865,           0.0063865
                  75,            0.020185,           0.0064755,           0.0019608,              0.9948,                   1,               0.995,             0.87417,            0.014302,           0.0027778,          0.00093141,            0.006337,            0.006337,            0.006337
                  76,            0.020873,           0.0063436,           0.0018179,             0.99625,                   1,               0.995,             0.83865,            0.015181,           0.0029414,          0.00086603,           0.0062875,           0.0062875,           0.0062875
                  77,            0.021279,           0.0066484,           0.0017883,             0.99261,             0.99936,               0.995,             0.84227,            0.015364,           0.0031352,          0.00082834,            0.006238,            0.006238,            0.006238
                  78,            0.020471,           0.0061246,           0.0014919,             0.99579,                   1,               0.995,             0.86128,            0.013014,           0.0026008,          0.00082405,           0.0061885,           0.0061885,           0.0061885
                  79,            0.020242,           0.0069912,           0.0017508,             0.99556,                   1,               0.995,             0.85117,            0.014699,           0.0026037,          0.00086188,            0.006139,            0.006139,            0.006139
                  80,            0.019972,           0.0064011,           0.0021916,             0.99526,                   1,               0.995,             0.87786,              0.0129,           0.0025886,          0.00084608,           0.0060895,           0.0060895,           0.0060895
                  81,            0.020274,            0.006524,           0.0018216,             0.99516,                   1,               0.995,             0.88152,            0.015508,           0.0025775,          0.00077534,             0.00604,             0.00604,             0.00604
                  82,            0.019381,           0.0057261,           0.0020647,             0.96392,             0.99145,               0.995,             0.87657,            0.014264,           0.0027181,           0.0017417,           0.0059905,           0.0059905,           0.0059905
                  83,            0.018357,            0.005437,           0.0021433,             0.99522,                   1,               0.995,             0.87902,            0.013151,           0.0025525,           0.0010113,            0.005941,            0.005941,            0.005941
                  84,            0.019128,           0.0059497,            0.001982,             0.99612,                   1,               0.995,             0.87719,             0.01398,           0.0024813,          0.00097529,           0.0058915,           0.0058915,           0.0058915
                  85,            0.019108,            0.005854,           0.0016472,             0.99257,              0.9867,               0.995,             0.89593,            0.013954,           0.0025514,           0.0011654,            0.005842,            0.005842,            0.005842
                  86,            0.018599,           0.0057813,           0.0027218,             0.96257,             0.98565,             0.99103,             0.88416,            0.015339,           0.0025941,           0.0032647,           0.0057925,           0.0057925,           0.0057925
                  87,             0.01894,           0.0068349,           0.0022075,             0.95929,             0.98593,               0.995,             0.85226,            0.015172,           0.0027924,           0.0033179,            0.005743,            0.005743,            0.005743
                  88,            0.018066,           0.0063038,           0.0021578,             0.99379,                   1,               0.995,             0.89191,            0.012954,             0.00257,          0.00098013,           0.0056935,           0.0056935,           0.0056935
                  89,            0.016884,           0.0056484,           0.0017976,             0.99542,                   1,               0.995,               0.885,            0.014188,           0.0024973,          0.00072992,            0.005644,            0.005644,            0.005644
                  90,            0.017332,            0.005848,           0.0017627,             0.99629,                   1,               0.995,             0.88592,            0.014508,           0.0025207,            0.000762,           0.0055945,           0.0055945,           0.0055945
                  91,            0.017594,           0.0057755,           0.0015833,             0.99239,                   1,               0.995,             0.88951,            0.014705,            0.002502,          0.00089943,            0.005545,            0.005545,            0.005545
                  92,            0.018879,            0.006265,           0.0017051,             0.79165,             0.92275,              0.9573,             0.82507,            0.014776,           0.0027529,            0.014769,           0.0054955,           0.0054955,           0.0054955
                  93,            0.018626,           0.0060543,           0.0011677,             0.78629,             0.77862,             0.86662,             0.72871,            0.013815,           0.0028511,            0.022063,            0.005446,            0.005446,            0.005446
                  94,            0.017487,           0.0056948,           0.0014326,             0.99474,                   1,               0.995,             0.88575,            0.012333,           0.0025457,          0.00078446,           0.0053965,           0.0053965,           0.0053965
                  95,            0.017757,           0.0059264,           0.0014602,             0.99694,                   1,               0.995,             0.89689,            0.013852,            0.002532,          0.00070578,            0.005347,            0.005347,            0.005347
                  96,            0.017534,           0.0053296,            0.002231,             0.99652,                   1,               0.995,             0.89139,            0.015387,           0.0024896,          0.00071579,           0.0052975,           0.0052975,           0.0052975
                  97,            0.017347,           0.0061464,           0.0018407,             0.99685,                   1,               0.995,             0.89929,             0.01464,           0.0024096,          0.00065356,            0.005248,            0.005248,            0.005248
                  98,            0.016288,           0.0053482,           0.0021986,             0.99481,                   1,               0.995,             0.87592,            0.014059,           0.0023962,          0.00066247,           0.0051985,           0.0051985,           0.0051985
